COUNTY,CITY
 COCHRAN , MORTON
 COCHRAN , WHITEFACE
 COKE , BLACKWELL
 COKE , BRONTE
 COKE , ROBERT LEE
 COKE , SILVER
 COLEMAN , BURKETT
 COLEMAN , COLEMAN
 COLEMAN , GOLDSBORO
 COLEMAN , GOULDBUSK
 COLEMAN , NOVICE
 COLEMAN , ROCKWOOD
 COLEMAN , SANTA ANNA
 COLEMAN , TALPA
 COLEMAN , VALERA
 COLEMAN , VOSS
 COLLIN , 
 COLLINGSWORTH , DODSON
 COLLINGSWORTH , QUAIL
 COLLINGSWORTH , SAMNORWOOD
 COLLINGSWORTH , WELLINGTON
 COLORADO , COLUMBUS
 COLORADO , GARWOOD
 COLORADO , EAGLE LAKE
 COLORADO , WEIMAR
 COMAL , BULVERDE
 COMAL , CANYON LAKE FOREST
 COMAL , FISCHER
 COMAL , GARDEN RIDGE
 COMAL , NEW BRAUNFELS
 COMAL , SPRING BRANCH
 COMANCHE , COMANCHE
 COMANCHE , GUSTINE
 CONCHO , EDEN
 CONCHO , EOLA
 CONCHO , MILLERSVIEW
 CONCHO , PAINT ROCK
 COOKE , CALLISBURG
 COOKE , GAINESVILLE
 COOKE , LINDSAY
 COOKE , MUENSTER
 COOKE , OAK RIDGE
 CORYELL , COPPERAS COVE
 CORYELL , EVANT
 CORYELL , GATESVILLE
 CORYELL , JONESBORO
 CORYELL , OGLESBY
 CORYELL , SOUTH MOUNTAIN
 COTTLE , PADUCAH
 CRANE , CRANE
 CROCKETT , OZONA
 CROSBY , CROSBYTON
 CROSBY , LORENZO
 CROSBY , RALLS
 CULBERSON , VAN HORN
 DALLAM , DALHART
 DALLAM , TEXLINE
 DALLAS , ADDISON
 DALLAS , BALCH SPRINGS
 DALLAS , CEDAR HILL
 DALLAS , CARROLLTON
 DALLAS , COCKRELL HILL
 DALLAS , COMBINE
 DALLAS , COPPELL
 DALLAS , DALLAS
 DALLAS , DESOTO
 DALLAS , DUNCANVILLE
 DALLAS , FARMERS BRANCH
 DALLAS , FERRIS
 DALLAS , GARLAND
 DALLAS , GLENN HEIGHTS
 DALLAS , GRAND PRAIRIE
 DALLAS , GRAPEVINE
 DALLAS , HIGHLAND PARK
 DALLAS , HUTCHINS
 DALLAS , IRVING
 DALLAS , LANCASTER
 DALLAS , LEWISVILLE
 DALLAS , MESQUITE
 DALLAS , OVILLA
 DALLAS , ROWLETT
 DALLAS , SEAGOVILLE
 DALLAS , SUNNYVALE
 DALLAS , UNIVERSITY PARK
 DALLAS , WILMER
 DAWSON , ACKERLY
 DAWSON , GRANDVIEW
 DAWSON , LAMESA
 DAWSON , O'DONNELL
 DAWSON , WELCH
 DEAF SMITH , HEREFORD
 DELTA , BEN FRNAKLIN
 DELTA , COOPER
 DELTA , KLONDIKE
 DELTA , PECAN GAP
 DENTON , ARGYLE
 DENTON , AUBREY
 DENTON , BARTONVILLE
 DENTON , CARROLLTON
 DENTON , COPPER CANYON
 DENTON , CORINTH
 DENTON , CORRAL CITY
 DENTON , CROSS ROADS
 DENTON , DALLAS
 DENTON , DENTON
 DENTON , DOUBLE OAK
 DENTON , FLOWER MOUND
 DENTON , FORT WORTH
 DENTON , FRISCO
 DENTON , HACKBERRY
 DENTON , HASLET
 DENTON , HEBRON
 DENTON , HICKORY CREEK
 DENTON , HIGHLAND VILLAGE
 DENTON , JUSTIN
 DENTON , KRUGERVILLE
 DENTON , KRUM
 DENTON , LAKE DALLAS
 DENTON , LAKEWOOD VILLAGE
 DENTON , LEWISVILLE
 DENTON , LINCOLN PARK
 DENTON , LITTLE ELM
 DENTON , MARSHALL CREEK
 DENTON , NORTHLAKE
 DENTON , OAK POINT
 DENTON , PILOT POINT
 DENTON , PONDER
 DENTON , ROANOKE
 DENTON , SANGER
 DENTON , SHADY SHORES
 DENTON , SOUTHLAKE
 DENTON , THE COLONY
 DENTON , TROPHY CLUB
 DENTON , WESTLAKE
DEWITT, ARNECKVILLE
DEWITT, CUERO
DEWITT, NORDHEIM
DEWITT, YOAKUM
DEWITT, YORKTOWN
 DICKENS , AFTON
 DICKENS , DICKENS
 DICKENS , MCADOO
 DICKENS , SPUR
 DIMMIT , ASHERTON
 DIMMIT , BIG WELLS
 DIMMIT , CARRIZO SPRINGS
 DONLEY , CLARENDON
 DONLEY , HEDLEY
 DONLEY , HOWARDWICK
 DUVAL , BENAVIDES
 DUVAL , FREER
 DUVAL , REALITOS
 DUVAL , SAN DIEGO
 EASTLAND , CARBON
 EASTLAND , CISCO
 EASTLAND , DESDEMONA
 EASTLAND , EASTLAND
 EASTLAND , GORMAN
 EASTLAND , RANGER
 EASTLAND , RISING STAR
 ECTOR , GARDENDALE
 ECTOR , GOLDSMITH
 ECTOR , ODESSA
 ECTOR , WEST ODESSA
 EDWARDS , BARKSDALE
 EDWARDS , ROCKSPRINGS
 EL PASO , AGUA DULCE
 EL PASO , ANTHONY
 EL PASO , BUTTERFIELD
 EL PASO , CANUTILLO
 EL PASO , CLINT
 EL PASO , EL PASO
 EL PASO , FABENS
 EL PASO , FORT BLISS
 EL PASO , HOMESTEAD MEADOWS NORTH
 EL PASO , HOMESTEAD MEADOWS SOUTH
 EL PASO , HORIZON CITY
 EL PASO , MORNING GLORY
 EL PASO , NEWMAN
 EL PASO , PRADO VERDE
 EL PASO , SAN ELIZARIO
 EL PASO , SOCORRO
 EL PASO , SPARKS
 EL PASO , TORNILLO
 EL PASO , VINTON
 EL PASO , WESTWAY
 ELLIS , ALMA
 ELLIS , BARDWELL
 ELLIS , ENNIS
 ELLIS , FERRIS
 ELLIS , GARRETT
 ELLIS , GRAND PRAIRIE
 ELLIS , ITALY
 ELLIS , MANSFIELD
 ELLIS , MAYPEARL
 ELLIS , MIDLOTHIAN
 ELLIS , MILFORD
 ELLIS , OAK LEAF
 ELLIS , OVILLA
 ELLIS , PALMER
 ELLIS , PECAN HILL
 ELLIS , RED OAK
 ELLIS , TELICO
 ELLIS , VENUS
 ELLIS , WAXAHACHIE
 ERATH , DUBLIN
 ERATH , MORGAN MILL
 ERATH , STEPHENVILLE
 FALLS , CHILTON
 FALLS , GOLINDA
 FALLS , LOTT
 FALLS , MARLIN
 FALLS , REAGAN
 FALLS , ROSEBUD
 FANNIN , BAILEY
 FANNIN , BONHAM
 FANNIN , DODD CITY
 FANNIN , ECTOR
 FANNIN , HONEY GROVE
 FANNIN , LADONIA
 FANNIN , LEONARD
 FANNIN , RAVENNA
 FANNIN , SAVOY
 FANNIN , TRENTON 
 FANNIN , WINDOM
 FAYETTE , CARMINE
 FAYETTE , FAYETTEVILLE
 FAYETTE , FLATONIA
 FAYETTE , LA GRANGE
 FAYETTE , SCHULENBURG
 FISHER , MCCAULLEY
 FISHER , ROBY
 FISHER , ROTAN
 FISHER , SYLVESTER
 FLOYD , FLOYDADA
 FLOYD , LOCKNEY
 FOARD , CROWELL
 FOARD , THALIA
 FORT BEND , KATY
 FORT BEND , KENDLETON
 FORT BEND , MEADOWS
 FORT BEND , MISSOURI CITY
 FORT BEND , NEEDVILLE
 FORT BEND , ROSENBERG
 FORT BEND , SIMONTON
 FORT BEND , STAFFORD
 FORT BEND , SUGAR LAND
 FRANKLIN , MOUNT VERNON
 FRANKLIN , SCROGGINS
 FRANKLIN , WINNSBORO
 FREESTONE , FAIRFIELD
 FREESTONE , OAKWOOD
 FREESTONE , STREETMAN
 FREESTONE , TEAGUE
 FREESTONE , WORTHMAN
 FRIO , BIGFOOT
 FRIO , DILLEY
 FRIO , MOORE
 FRIO , PEARSALL
 GAINES , SEAGRAVES
 GAINES , SEMINOLE
 GALVESTON , BACLIFF
 GALVESTON , BAYOU VISTA
 GALVESTON , CLEAR LAKE SHORES
 GALVESTON , DICKINSON
 GALVESTON , FRIENDSWOOD
 GALVESTON , GALVESTON
 GALVESTON , HIGH ISLAND
 GALVESTON , HITCHCOCK
 GALVESTON , JAMAICA BEACH
 GALVESTON , KEMAH
 GALVESTON , LA MARQUE
 GALVESTON , LEAGUE CITY
 GALVESTON , PORT BOLIVAR
 GALVESTON , SAN LEON
 GALVESTON , SANTA FE
 GALVESTON , TEXAS CITY
 GALVESTON , TIKI ISLAND
 GARZA , POST
 GILLESPIE , FREDERICKSBURG
 GILLESPIE , HARPER
 GILLESPIE , LUCKENBACH
 GILLESPIE , STONEWALL
 GILLESPIE , WILLOW CITY
 GLASSCOCK , GARDEN CITY
 GOLIAD , ANDER
 GOLIAD , GOLIAD
 GONZALES , GONZALES
 GONZALES , NIXON
 GONZALES , SMILEY
 GONZALES , WAELDER
 GRAY , LEFORS
 GRAY , MCLEAN
 GRAY , PAMPA
 GRAYSON , BELLS
 GRAYSON , COLLINSVILLE
 GRAYSON , DENISON
 GRAYSON , DORCHESTER
 GRAYSON , GUNTER
 GRAYSON , HOWE
 GRAYSON , KNOLLWOOD
 GRAYSON , POTTSBORO
 GRAYSON , SADLER
 GRAYSON , SHERMAN
 GRAYSON , SOUTHMAYD
 GRAYSON , TIOGA
 GRAYSON , TOM BEAN
 GRAYSON , VAN ALSTYNE
 GRAYSON , WHITESBORO
 GRAYSON , WHITEWRIGHT
 GREGG , CLARKSVILLE CITY
 GREGG , EASTON
 GREGG , GLADEWATER
 GREGG , KILGORE
 GREGG , LAKEPORT
 GREGG , LIBERTY CITY
 GREGG , LONGVIEW
 GREGG , WARREN CITY
 GREGG , WHITE OAK
 GRIMES , ANDERSON
 GRIMES , NAVASOTA
 GUADALUPE , MARION
 GUADALUPE , MCQUEENEY
 GUADALUPE , SEGUIN
 HALE , ABERNATHY
 HALE , EDMONSON
 HALE , HALE CENTER
 HALE , PETERSBURG
 HALE , PLAINVIEW
 HALE , SETH WARD
 HALL , ESTELLINE
 HALL , LAKEVIEW
 HALL , MEMPHIS
 HALL , TURKEY
 HAMILTON , HAMILTON
 HAMILTON , HICO
 HANSFORD , GRUVER
 HANSFORD , MORSE
 HANSFORD , SPEARMAN
 HARDEMAN , CHILLICOTHE
 HARDEMAN , GOODLETT
 HARDEMAN , QUANAH
 HARDIN , BATSON
 HARDIN , KOUNTZE
 HARDIN , LOEB
 HARDIN , LUMBERTON
 HARDIN , SARATOGA
 HARDIN , SILSBEE
 HARDIN , SOUR LAKE
 HARRIS , ATASCOCITA
 HARRIS , BARRETT
 HARRIS , BAYTOWN
 HARRIS , BELLAIRE
 HARRIS , BUNKER HILL VILLAGE
 HARRIS , CHANNELVIEW
 HARRIS , CLOVERLEAF
 HARRIS , CROSBY
 HARRIS , DEER PARK
 HARRIS , EL LAGO
 HARRIS , FRIENDSWOOD
 HARRIS , GALENA PARK
 HARRIS , HEDWIG VILLAGE
 HARRIS , HIGHLANDS
 HARRIS , HILSHIRE VILLAGE
 HARRIS , HOUSTON
 HARRIS , HUMBLE
 HARRIS , HUNTERS CREEK VILLAGE
 HARRIS , JACINTO CITY
 HARRIS , JERSEY VILLAGE
 HARRIS , KATY
 HARRIS , KLEIN
 HARRIS , LA PORTE
 HARRIS , LEAGUE CITY
 HARRIS , MISSOURI CITY
 HARRIS , MORGAN'S POINT
 HARRIS , NASSAU BAY
 HARRIS , PASADENA
 HARRIS , PEARLAND
 HARRIS , PINEY POINT VILLAGE
 HARRIS , SEABROOK
 HARRIS , SHELDON
 HARRIS , SHOREACRES
 HARRIS , SOUTH HOUSTON
 HARRIS , SOUTHSIDE PLACE
 HARRIS , SPRING
 HARRIS , SPRING VALLEY
 HARRIS , STAFFORD
 HARRIS , TAYLOR LAKE VILLAGE
 HARRIS , TOMBALL
 HARRIS , WEBSTER
 HARRIS , WEST UNIVERSITY PLACE
 HARRISON , ELYSIAN FIELDS
 HARRISON , GILL
 HARRISON , HALLSVILLE
 HARRISON , HARLETON
 HARRISON , JONESVILLE
 HARRISON , KARNACK
 HARRISON , LATEX
 HARRISON , LONGVIEW
 HARRISON , MARSHALL
 HARRISON , NESBITT
 HARRISON , SCOTTSVILLE
 HARRISON , UNCERTAIN
 HARRISON , WASKOM
 HARRISON , WOODLAWN
 HARTLEY , CHANNING
 HARTLEY , HARTLEY
 HASKELL , HASKELL
 HASKELL , O'BRIEN
 HASKELL , ROCHESTER
 HASKELL , RULE
 HASKELL , SAGERTON
 HASKELL , STAMFORD
 HASKELL , WEINERT
 HAYS , BUDA
 HAYS , DRIFTWOOD
 HAYS , DRIPPING SPRINGS
 HAYS , KYLE
 HAYS , SAN MARCOS
 HAYS , WIMBERLEY
 HEMPHILL , CANADIAN
 HENDERSON , ATHENS
 HENDERSON , BERRYVILLE
 HENDERSON , BROWNSBORO
 HENDERSON , CANEY CITY
 HENDERSON , CHANDLER
 HENDERSON , COFFEE CITY
 HENDERSON , ENCHANTED OAKS
 HENDERSON , EUSTACE
 HENDERSON , EVELYN
 HENDERSON , GUN BARREL CITY
 HENDERSON , LOG CABIN
 HENDERSON , MABANK
 HENDERSON , MALAKOFF
 HENDERSON , MOORE STATION
 HENDERSON , MURCHISON
 HENDERSON , PAYNE SPRINGS
 HENDERSON , POYNOR
 HENDERSON , SEVEN POINTS
 HENDERSON , STAR HARBOR
 HENDERSON , TOOL
 HENDERSON , TRINIDAD
 HIDALGO , ABRAM
 HIDALGO , ALAMO
 HIDALGO , ALTON
 HIDALGO , DONNA
 HIDALGO , EDCOUCH
 HIDALGO , EDINBURG
 HIDALGO , ELSA
 HIDALGO , HIDALGO
 HIDALGO , LA JOYA
 HIDALGO , LOPEZVILLE
 HIDALGO , MISSION
 HIDALGO , PHARR
 HIDALGO , PROGRESO
 HIDALGO , SULLIVAN CITY
 HIDALGO , WESLACO
 HILL , ABBOTT
 HILL , BLUM
 HILL , HILLSBORO
 HILL , HUBBARD
 HILL , ITASCA
 HILL , MALONE
 HILL , MOUNT CALM
 HILL , PENELOPE
 HILL , WHITNEY
 HOCKLEY , ANTON
 HOCKLEY , LEVELLAND
 HOCKLEY , OPDYKE
 HOCKLEY , PEP
 HOCKLEY , ROPESVILLE
 HOCKLEY , SMYER
 HOCKLEY , SUNDOWN
 HOOD , CRESSON
 HOOD , GRANBURY
 HOOD , LIPAN
 HOOD , OAK TRAIL SHORES
 HOOD , PECAN PLANTATION
 HOOD , TOLAR
 HOPKINS , BRASHEAR
 HOPKINS , COMO
 HOPKINS , CUMBY
 HOPKINS , PICKTON
 HOPKINS , SALTILLO
 HOPKINS , SULPHUR BLUFF
 HOPKINS , SULPHUR SPRINGS
 HOPKINS , TIRA
 HOUSTON , CROCKETT
 HOUSTON , GRAPELAND
 HOUSTON , KENNARD
 HOUSTON , LATEXO
 HOUSTON , LOVELADY
 HOUSTON , PORTER SPRINGS
 HOWARD , BIG SPRING
 HOWARD , COAHOMA
 HOWARD , FORSAN
 HOWARD , KNOTT
 HUDSPETH , DELL CITY
 HUDSPETH , FORT HANCOCK
 HUDSPETH , SALT FLAT
 HUDSPETH , SIERRA BLANCA
 HUNT , CADDO MILLS
 HUNT , CAMPBELL
 HUNT , CELESTE
 HUNT , COMMERCE
 HUNT , GREENVILLE
 HUNT , LONE OAK
 HUNT , QUINLAN
 HUNT , WEST TAWAKONI
 HUNT , WOLFE CITY
 HUTCHINSON , BORGER
 HUTCHINSON , FRITCH
 HUTCHINSON , SANFORD
 HUTCHINSON , STINNETT
 IRION , BARNHART
 IRION , MERTZON
 JACK , BRYSON
 JACK , JACKSBORO
 JACK , JERMYN
 JACK , PERRIN
 JACKSON , CORDELE
 JACKSON , EDNA
 JACKSON , GANADO
 JACKSON , VANDERBILT
 JASPER , BROWNDELL
 JASPER , BUNA
 JASPER , EVADALE
 JASPER , JASPER
 JASPER , KIRBYVILLE
 JEFF DAVIS , FORT DAVIS
 JEFF DAVIS , VALENTINE
 JEFFERSON , BEAUMONT
 JEFFERSON , BEVIL OAKS
 JEFFERSON , CHINA
 JEFFERSON , GROVES
 JEFFERSON , NEDERLAND
 JEFFERSON , PORT ARTHUR
 JEFFERSON , PORT NECHES
 JEFFERSON , SABINE PASS
 JIM HOGG , HEBBRONVILLE
 JIM WELLS , ALICE
 JIM WELLS , PERNITAS POINT
 JIM WELLS , ORANGE GROVE
 JIM WELLS , PREMONT
 JOHNSON , ALVARADO
 JOHNSON , BRIAROAKS
 JOHNSON , BURLESON
 JOHNSON , CLEBURNE
 JOHNSON , CROSS TIMBER
 JOHNSON , GODLEY
 JOHNSON , GRANDVIEW
 JOHNSON , JOSHUA
 JOHNSON , KEENE
 JOHNSON , RIO VISTA
 JOHNSON , VENUS
 JONES , ANSON
 JONES , HAMLIN
 JONES , HAWLEY
 JONES , LUEDERS
 JONES , STAMFORD
 KARNES , FALLS CITY
 KARNES , GILLETT
 KARNES , KARNES CITY
 KARNES , KENEDY
 KARNES , RUNGE
 KAUFMAN , CRANDALL
 KAUFMAN , COMBINE
 KAUFMAN , DALLAS
 KAUFMAN , FORNEY
 KAUFMAN , GRAYS PRAIRIE
 KAUFMAN , KAUFMAN
 KAUFMAN , KEMP
 KAUFMAN , LAWRENCE
 KAUFMAN , MABANK
 KAUFMAN , OAK GROVE
 KAUFMAN , OAK RIDGE
 KAUFMAN , POST OAK BEND
 KAUFMAN , ROSSER
 KAUFMAN , SCURRY
 KAUFMAN , TALTY
 KAUFMAN , TERRELL
 KENDALL , BERGHEIM
 KENDALL , BOERNE
 KENDALL , COMFORT
 KENDALL , KENDALIA
 KENEDY , SARITA
 KENT , GIRARD
 KENT , JAYTON
 KERR , CENTER POINT
 KERR , INGRAM
 KERR , KERRVILLE
 KERR , MOUNTAIN HOME
 KIMBLE , JUNCTION
 KIMBLE , LONDON
 KIMBLE , ROOSEVELT
 KING , DUMONT
 KING , GUTHRIE
 KINNEY , BRACKETTVILLE
 KLEBERG , KINGSVILLE
 KLEBERG , RIVIERA
 KNOX , BENJAMIN
 KNOX , GOREE
 KNOX , KNOX CITY
 KNOX , MUNDAY
 LA SALLE , COTULLA
 LA SALLE , FOWLERTON
 LAMAR , BLOSSOM
 LAMAR , DEPORT
 LAMAR , PARIS
 LAMAR , POWDERLY
 LAMAR , ROXTON
 LAMAR , SUMNER
 LAMB , AMHERST
 LAMB , EARTH
 LAMB , LITTLEFIELD
 LAMB , OLTON
 LAMB , SPADE
 LAMB , SPRINGLAKE
 LAMB , SUDAN
 LAMPASAS , ADAMSVILLE
 LAMPASAS , KEMPNER
 LAMPASAS , LAMPASAS
 LAMPASAS , LOMETA
 LAVACA , HALLETTSVILLE
 LAVACA , MOULTON
 LAVACA , SHINER
 LEE , DIME BOX
 LEE , GIDDINGS
 LEE , LEXINGTON
 LEE , LINCOLN
 LEON , BUFFALO
 LEON , CENTERVILLE
 LEON , JEWETT
 LEON , LEONA
 LEON , MARQUEZ
 LEON , NORMANGEE
 LEON , OAKWOOD
 LIBERTY , CLEVELAND
 LIBERTY , DAISETTA
 LIBERTY , DAYTON
 LIBERTY , HARDIN
 LIBERTY , HULL
